OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 1408 DEB,1982-092M,2023-07-28T23:17:35.329920,16.24573077,.0009204,82.4946,207.1545,214.5967,227.2237,0,U,49524,999,9551,.9004E-3,.2451306E-1,-.12065E-5
COSMOS 1408 DEB,1982-092Q,2023-07-28T07:21:13.841280,14.35847130,.0442226,82.3913,306.7434,11.4190,349.6637,0,U,49527,999,8803,.15372E-2,.14004E-3,0
COSMOS 1408 DEB,1982-092S,2023-07-29T02:47:56.502816,15.03631297,.0168848,82.3505,246.4647,193.7511,165.9090,0,U,49529,999,9208,.14583E-2,.27458E-3,0
COSMOS 1408 DEB,1982-092AA,2023-07-28T04:04:52.745952,15.06577507,.0146524,82.5595,250.0518,101.3598,260.4132,0,U,49537,999,9278,.67014E-3,.12733E-3,0
COSMOS 1408 DEB,1982-092AC,2023-07-28T07:41:36.199968,14.35456215,.0443747,82.2009,297.2400,41.6335,321.7749,0,U,49539,999,8753,.23465E-2,.21304E-3,0
COSMOS 1408 DEB,1982-092CF,2023-07-28T12:19:26.451840,15.38283925,.0064706,82.5512,233.7407,51.0481,309.6505,0,U,49590,999,9382,.1258E-2,.51273E-3,0
COSMOS 1408 DEB,1982-092CG,2023-07-28T19:48:51.007104,15.44393263,.008187,82.5706,249.3337,140.8132,219.9085,0,U,49591,999,9211,.30819E-2,.164248E-2,0
COSMOS 1408 DEB,1982-092CL,2023-07-29T03:26:58.039584,15.12409193,.0154247,82.4061,259.8585,203.8402,155.5635,0,U,49595,999,9125,.32156E-2,.75376E-3,0
COSMOS 1408 DEB,1982-092CV,2023-07-29T02:55:03.413856,15.31374576,.0054343,82.5130,226.8196,58.8083,301.8469,0,U,49604,999,9399,.64832E-3,.20629E-3,0
COSMOS 1408 DEB,1982-092CY,2023-07-28T06:12:48.577248,15.28238628,.0114952,82.8743,292.3567,177.4954,182.6890,0,U,49607,999,9158,.64708E-2,.222122E-2,0
COSMOS 1408 DEB,1982-092DL,2023-07-28T15:17:57.987744,14.40332442,.0426574,81.9637,274.4310,42.9271,320.4386,0,U,49619,999,8767,.41835E-2,.4012E-3,0
COSMOS 1408 DEB,1982-092DP,2023-07-29T00:34:30.667584,15.61897778,.0019607,82.5661,215.2105,278.0666,81.8367,0,U,49622,999,9493,.70749E-3,.62395E-3,0
COSMOS 1408 DEB,1982-092DV,2023-07-28T23:47:30.340896,15.93024376,.0021929,82.9457,290.5698,179.1499,180.9818,0,U,49628,999,9210,.8049E-2,.2658975E-1,.52824E-2
COSMOS 1408 DEB,1982-092FA,2023-07-29T01:26:27.156192,15.70692190,.0022631,82.5322,227.0352,32.2099,328.0540,0,U,49657,999,9400,.23536E-2,.304628E-2,0
COSMOS 1408 DEB,1982-092FB,2023-07-29T02:26:49.975584,15.45643907,.0058057,82.5754,233.5901,35.9738,324.5396,0,U,49658,999,9309,.1587E-2,.82264E-3,0
COSMOS 1408 DEB,1982-092FG,2023-07-28T12:52:25.233888,15.70538864,.000566,82.5562,216.9612,16.7679,343.3769,0,U,49663,999,9466,.77925E-3,.96602E-3,0
COSMOS 1408 DEB,1982-092FT,2023-07-29T01:27:58.230432,15.61774103,.0021046,82.5876,218.4036,70.8862,289.4672,0,U,49674,999,9477,.88775E-3,.78162E-3,0
COSMOS 1408 DEB,1982-092FU,2023-07-29T01:00:52.021728,15.83190153,.0015561,82.5740,220.2269,295.5796,64.3864,0,U,49675,999,9463,.15276E-2,.341875E-2,0
COSMOS 1408 DEB,1982-092HD,2023-07-29T01:58:16.126176,15.55236637,.0026204,82.6011,213.7794,102.0779,258.3414,0,U,49708,999,9436,.38862E-3,.26764E-3,0
COSMOS 1408 DEB,1982-092HE,2023-07-29T02:49:03.690048,15.32747409,.0068716,82.6184,239.7471,46.4016,314.2899,0,U,49709,999,9279,.11916E-2,.408E-3,0
COSMOS 1408 DEB,1982-092JA,2023-07-28T13:07:43.838688,15.56163461,.0015418,82.5548,218.8996,31.8575,328.3608,0,U,49784,999,9476,.72935E-3,.51553E-3,0
COSMOS 1408 DEB,1982-092JF,2023-07-28T12:30:28.182528,15.26889030,.0078586,82.6052,240.3392,53.4890,307.3553,0,U,49789,999,9338,.63206E-3,.18338E-3,0
COSMOS 1408 DEB,1982-092KK,2023-07-28T18:07:13.275264,15.55829370,.0016037,82.5675,219.3622,338.1016,21.9551,0,U,49828,999,9287,.79861E-3,.55806E-3,0
COSMOS 1408 DEB,1982-092KX,2023-07-28T12:41:09.189312,15.20000714,.0104712,82.4852,237.0691,128.9802,232.0820,0,U,49840,999,9124,.76672E-3,.19207E-3,0
COSMOS 1408 DEB,1982-092LB,2023-07-29T01:57:52.496640,15.47893082,.0011573,82.5657,218.5923,18.1340,342.0320,0,U,49844,999,9284,.57156E-3,.29927E-3,0
